Text,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
The burning of fossil fuels is a major source of greenhouse gas emissions.,0.7001799090358786,0.007692585978090847,0.23827201182381832,0.0076926664737685235,0.007692333522439291,0.007692337521133849,0.007693737881351722,0.007692680843986188,0.007697200713068979,0.007694536206463661
Fossil fuels contribute to global warming by releasing carbon dioxide into the atmosphere.,0.6171883864681857,0.007143589830261856,0.32566484046180216,0.007143067939993426,0.007142990879216373,0.007143076267593529,0.0071438463610767906,0.00714315896799566,0.00714344263108032,0.007143600192794109
Renewable energy sources are essential for reducing climate change impacts.,0.008333431963658372,0.008333568084739205,0.008333962025731154,0.008333744445211786,0.00833347378460436,0.008333368300973741,0.00833536635307968,0.008335850019046305,0.747878960083731,0.18544827493922447
Transitioning to sustainable energy systems can significantly reduce emissions.,0.010001728354224018,0.010000256390527608,0.01000092358754941,0.010001356234340633,0.010000283113186048,0.010000092323187059,0.01000151786991976,0.28979216114399375,0.6302011016366582,0.010000579346413447
"Industrial processes, especially in manufacturing, are key contributors to climate change.",0.011111460718094388,0.011111133242891166,0.011111581855041887,0.011111343176760987,0.011111502461856458,0.011111353732135364,0.01111327665621118,0.011111223343340464,0.8999956172680613,0.011111507545606747
The industrial sector must adopt green technologies to curb its environmental impact.,0.01000138252443356,0.010001265561519021,0.010000995729466703,0.010002142170623986,0.010000426445316355,0.010000132905716577,0.9099881891405109,0.010001324593580932,0.010003774191998655,0.010000366736833168
The transportation sector is one of the largest contributors to global emissions.,0.01428991333027486,0.014287613204420412,0.014287759439457738,0.01428680572735561,0.014286992402024903,0.014285950543373076,0.3251669928990057,0.014287944262145304,0.5605327627987697,0.01428726539317259
Electric vehicles are a promising solution for reducing transportation-related pollution.,0.012501401399669987,0.01250060390143399,0.012509598201491997,0.012503591829841268,0.012503864171305777,0.01250000003027099,0.8874721000818984,0.012501980978089767,0.012504888721302886,0.012501970684694969
High levels of emissions from industries are accelerating global warming.,0.522705246517267,0.011111429876442695,0.011114049329922543,0.011111467414714044,0.011111563445888352,0.011111981876337369,0.011112315244428616,0.011112121291575211,0.3883963157186997,0.011113509284724508
Reducing emissions is crucial for meeting international climate targets.,0.01111180945655798,0.011112267243113299,0.011112468451934367,0.01111181648598817,0.011111977654822275,0.011111331608889425,0.011111738845871893,0.011112320480652606,0.899992948083962,0.011111321688208092
